date,OilShock,OilPrice,WorldOilProd,WorldOilInv,WorldIndProd,UsIndProd,UsCpi
198012,0,1.8096581526,2.4043648918,-0.1307758469,0.0302186238,0.5612333459,0.9302392662
198101,0,1.7451591977,-0.2694504826,2.4907515265,-0.2829012348,-0.5718565687,0.9216655105
198102,0,-0.9132483563,0.4564998989,1.8394093557,0.4839898729,-0.4727358978,0.9132483563
198103,0,-0.6795043133,1.1160453986,3.3334169912,-0.3559125737,0.5451790558,0.6795043133
198104,0,-0.5627476866,-1.7245995367,2.5959947661,-0.1220380233,-0.4308787422,0.5627476866
198105,0,-0.6711434588,-1.4105357646,2.3945755262,0.0842661386,0.565385143,0.6711434588
198106,0,-6.2946302911,-1.2067958997,1.3755794684,0.4410832736,0.4699180437,0.8879081641
198107,0,-1.0989121576,-2.3254958854,2.8386065455,0.6186823865,0.6283227041,1.0989121576
198108,0,-0.7621158281,-1.7170119357,-2.2274247621,-0.5733618621,-0.0159175583,0.7621158281
198109,0,-0.971405372,0.2049505257,3.0061240819,0.3188409411,-0.6007231229,0.971405372
198110,0,-3.1388037918,0.6728128309,2.1628673547,0.0317288621,-0.7164409557,0.3217160952
198111,0,2.3897366189,-1.0571971511,1.7612889452,-0.4321656157,-1.1405052019,0.4273510777
198112,0,-3.1364067546,1.7746436446,2.3279050683,-0.743571886,-1.1150311189,0.3193190579
198201,0,-3.6592088691,-0.4611780167,0.4197458971,-0.4442349572,-2.0166305786,0.318302656
198202,0,-7.3221430421,-1.1745544256,1.2627798215,0.4096671235,1.9700375927,0.3172927041
198203,0,-10.2688409434,-3.4287389232,-0.5216239157,0.0635840924,-0.7445426729,0
198204,0,15.7686808622,-2.516959008,-0.7156855469,-0.2930732137,-0.8913559156,0.3162891409
198205,0,6.2091724262,1.646395742,-0.1335529416,-0.5360696296,-0.6173494652,0.9429090289
198206,0,-3.5631533587,3.679843079,0.4132377094,-0.5682916227,-0.3107075168,1.1404996614
198207,0,-3.1432094732,-0.7844352911,1.3613075172,-0.4462940478,-0.3088780892,0.51413995
198208,0,-0.8215695961,-0.146381176,2.1483515745,-0.4714531841,-0.8670661565,0.2049181045
198209,0,4.8299125613,-0.2726439272,0.2324224604,0.2380050155,-0.301011978,0
198210,0,-0.2683479429,3.1818683046,0.924737051,-1.3759473644,-0.9087149484,0.4085807523
198211,0,-4.2807833794,1.0685935448,1.898255861,-0.1750103836,-0.3839152989,-0.1019887901
198212,0,-7.0749269628,-2.0694929693,0.2467211487,-0.3627071831,-0.7297696929,-0.3065919622
198301,0,-1.8894856635,-2.7699517674,1.3122528471,1.2003911566,1.9026316936,0.2044990488
